"Age","px_male_poland","px_female_poland","Age_N","px_male_N","px_female_N","px_Norway","px_Poland","px","qx"
0,0.00389,0.00315,"0 years",0.002798,0.002143,0.00248229,0.00353036,0.0028491145,0.00248537598976086
1,0.00028,0.00019,"1 year",0.000251,0.000299,0.000274136,0.00023626,0.0002608794,0.000274173582141853
2,0.00019,0.00014,"2 years",9.2e-05,0.000129,0.000109834,0.0001657,0.0001293871,0.000109840032195451
3,0.00015,0.00011,"3 years",0.000153,6.5e-05,0.000110584,0.00013056,0.0001175756,0.000110590114861305
4,0.00012,9e-05,"4 years",0,9.9e-05,4.7718e-05,0.00010542,6.79137e-05,4.77191385400113e-05
5,1e-04,8e-05,"5 years",0.000221,6.6e-05,0.00014629,9.028e-05,0.0001266865,0.00014630070142573
6,9e-05,7e-05,"6 years",0,3.3e-05,1.5906e-05,8.028e-05,3.84369e-05,1.59061265017694e-05
7,9e-05,7e-05,"7 years",6.5e-05,6.8e-05,6.6446e-05,8.028e-05,7.12879e-05,6.64482076333041e-05
8,9e-05,7e-05,"8 years",9.7e-05,0.000102,9.941e-05,8.028e-05,9.27145e-05,9.94149415015645e-05
9,9e-05,7e-05,"9 years",3.3e-05,0.000137,8.3128e-05,8.028e-05,8.21312e-05,8.31314553236706e-05
10,9e-05,8e-05,"10 years",0.000132,0.000137,0.00013441,8.514e-05,0.0001171655,0.00013441903383358
11,1e-04,9e-05,"11 years",9.5e-05,0.000133,0.000113316,9.514e-05,0.0001069544,0.000113322420742956
12,0.00011,1e-04,"12 years",9.3e-05,6.5e-05,7.9504e-05,0.00010514,8.84766e-05,7.95071606105379e-05
13,0.00014,0.00012,"13 years",6.2e-05,0.000196,0.000126588,0.00013028,0.0001278802,0.00012659601293709
14,0.00017,0.00013,"14 years",0.000216,9.7e-05,0.000158642,0.00015056,0.0001558133,0.000158654584973145
15,0.00023,0.00015,"15 years",0.00018,0.000127,0.000154454,0.00019112,0.0001672871,0.000154465929247447
16,3e-04,0.00017,"16 years",0.000267,0.000221,0.000244828,0.00023682,0.0002420252,0.000244857975267445
17,4e-04,0.00019,"17 years",0.000209,0.000159,0.0001849,0.00029794,0.000224464,0.000184917096112457
18,5e-04,0.00021,"18 years",0.000537,0.000127,0.00033938,0.00035906,0.000346268,0.00033943760242531
19,0.00061,0.00023,"19 years",0.000295,0.000126,0.000213542,0.00042532,0.0002876643,0.000213564803339265
20,0.00072,0.00025,"20 years",0.000667,0.000279,0.000479984,0.00049158,0.0004840426,0.00048009922919376
21,0.00081,0.00026,"21 years",0.000694,0.000212,0.000461676,0.0005427,0.0004900344,0.00046178260517714
22,0.00088,0.00027,"22 years",0.000726,0.000211,0.00047777,0.00058354,0.0005147895,0.000477884168452116
23,0.00094,0.00027,"23 years",0.000499,9.1e-05,0.000302344,0.00061438,0.0004115566,0.000302389715161825
24,0.00099,0.00027,"24 years",0.00057,0.000184,0.000383948,0.00064008,0.0004735942,0.000384021726905455
25,0.00104,0.00028,"25 years",0.000815,0.000218,0.000527246,0.00067064,0.0005774339,0.000527385043047648
26,0.00109,0.00028,"26 years",0.000632,0.000376,0.000508608,0.00069634,0.0005743142,0.000508737384921462
27,0.00114,0.00029,"27 years",0.000575,0.000156,0.000373042,0.0007269,0.0004968923,0.000373111597475931
28,0.00119,0.00031,"28 years",0.00066,0.00025,0.00046238,0.00076232,0.000567359,0.000462486930595167
29,0.00126,0.00033,"29 years",0.000648,0.000248,0.0004552,0.00080802,0.000578687,0.000455303634970941
30,0.00135,0.00035,"30 years",0.001035,0.000308,0.000684586,0.000864,0.0007473809,0.000684820435996192
31,0.00144,0.00038,"31 years",0.000649,0.00034,0.000500062,0.00092484,0.0006487343,0.000500187072699697
32,0.00155,0.00042,"32 years",0.000907,0.000248,0.000589362,0.00100082,0.0007333723,0.000589535742051555
33,0.00167,0.00046,"33 years",0.000734,0.000187,0.000470346,0.00108194,0.0006844039,0.000470456647376207
34,0.00179,0.00051,"34 years",0.000862,0.000348,0.000614252,0.00116792,0.0008080358,0.000614440730048898
35,0.00193,0.00057,"35 years",0.00077,0.000346,0.000565632,0.00126904,0.0008118248,0.000565792030128036
36,0.00207,0.00063,"36 years",0.000979,0.000487,0.000741856,0.00137016,0.0009617624,0.000742131311331683
37,0.00222,0.00069,"37 years",0.000779,0.000644,0.00071393,0.00147642,0.0009808015,0.000714184969383174
38,0.00238,0.00075,"38 years",0.00116,0.000516,0.000849592,0.00158782,0.0011079718,0.000849953107827277
39,0.00256,0.00082,"39 years",0.001241,0.000422,0.000846242,0.00171436,0.0011500833,0.000846600264894795
40,0.00276,9e-04,"40 years",0.001013,0.000467,0.000749828,0.00185604,0.0011370022,0.000750109261622149
41,0.00299,0.00099,"41 years",0.001432,0.000852,0.00115244,0.002018,0.001455386,0.0011531045696103
42,0.00326,0.00109,"42 years",0.000982,0.000874,0.000929944,0.00220538,0.0013763466,0.00093037666617926
43,0.00356,0.0012,"43 years",0.001308,0.000949,0.001134962,0.00241304,0.0015822893,0.00113560655711539
44,0.0039,0.00133,"44 years",0.001303,0.000772,0.001047058,0.00265098,0.0016084307,0.00104760654816899
45,0.00429,0.00148,"45 years",0.001713,0.000899,0.001320652,0.00292434,0.0018819428,0.00132152482940643
46,0.00472,0.00164,"46 years",0.001908,0.001452,0.001688208,0.00322312,0.0022254272,0.00168963462898272
47,0.00521,0.00184,"47 years",0.002047,0.001414,0.001741894,0.00357218,0.0023824941,0.00174341286140695
48,0.00575,0.00206,"48 years",0.001921,0.001387,0.001663612,0.00395666,0.0024661788,0.00166499733910095
49,0.00635,0.0023,"49 years",0.0019,0.001612,0.001761184,0.0043817,0.0026783646,0.00176273670787828
50,0.007,0.00258,"50 years",0.002816,0.001865,0.002357618,0.00485188,0.0032306097,0.00236040155722068
51,0.00771,0.00288,"51 years",0.003011,0.001762,0.002408982,0.00536262,0.0034427553,0.00241188826550382
52,0.00847,0.00319,"52 years",0.00374,0.001834,0.002821308,0.00590392,0.0039002222,0.00282529539095337
53,0.00928,0.00352,"53 years",0.003913,0.002312,0.003141318,0.00648064,0.0043100807,0.00314626229650868
54,0.01015,0.00388,"54 years",0.003841,0.00291,0.003392258,0.00710278,0.0046909407,0.00339802475240396
55,0.01111,0.00427,"55 years",0.004437,0.002915,0.003703396,0.00778576,0.0051322234,0.00371027054899973
56,0.01217,0.00471,"56 years",0.004511,0.003867,0.004200592,0.00854444,0.0057209388,0.00420943927111834
57,0.01335,0.0052,"57 years",0.005082,0.003102,0.00412764,0.0093891,0.005969151,0.00413618222022798
58,0.01466,0.00576,"58 years",0.005618,0.003211,0.004457826,0.0103346,0.0065146969,0.00446779173435815
59,0.0161,0.00638,"59 years",0.006924,0.004142,0.005583076,0.01137608,0.0076106274,0.00559871962233694
60,0.01765,0.00707,"60 years",0.007663,0.005259,0.006504272,0.01250812,0.0086056188,0.00652551694918323
61,0.0193,0.00783,"61 years",0.009314,0.00452,0.007003292,0.01372558,0.0093560928,0.00702793014890494
62,0.02107,0.00863,"62 years",0.008594,0.005787,0.007241026,0.01502416,0.0099651229,0.00726736947499191
63,0.02297,0.00949,"63 years",0.009691,0.005906,0.00786663,0.01641872,0.0108598615,0.00789773516974304
64,0.025,0.01042,"64 years",0.010727,0.007012,0.00893637,0.01791412,0.0120785825,0.00897653884254866
65,0.02714,0.01142,"65 years",0.010956,0.00777,0.009420348,0.01950008,0.0129482542,0.00946500012518113
66,0.02941,0.01252,"66 years",0.014015,0.008064,0.011146618,0.02120146,0.0146658127,0.0112092070854521
67,0.03177,0.01375,"67 years",0.015429,0.009143,0.012399148,0.02301228,0.0161137442,0.0124766588140363
68,0.03417,0.0151,"68 years",0.015938,0.011125,0.013618134,0.02490198,0.0175674801,0.0137117113236996
69,0.03665,0.01662,"69 years",0.016023,0.011141,0.013669876,0.02691542,0.0183058164,0.0137641690572909
70,0.03925,0.01829,"70 years",0.018458,0.011869,0.015282102,0.02906344,0.0201055703,0.015400076799322
71,0.04201,0.02014,"71 years",0.021341,0.014402,0.017996402,0.03138118,0.0226810743,0.0181603066832632
72,0.04501,0.02219,"72 years",0.025047,0.016139,0.020753344,0.03391948,0.0253614916,0.0209717213003369
73,0.04833,0.02445,"73 years",0.025468,0.016285,0.021041794,0.03672432,0.0265306781,0.0212663278634028
74,0.052,0.02694,"74 years",0.026124,0.01914,0.022757712,0.03982084,0.0287298068,0.0230206658725724
75,0.05609,0.0297,"75 years",0.032494,0.021409,0.02715103,0.04326446,0.0327907305,0.0275264298102371
76,0.06064,0.03277,"76 years",0.033274,0.022293,0.027981158,0.04709518,0.0346710657,0.0283800899359177
77,0.06571,0.03621,"77 years",0.041045,0.025807,0.033700284,0.051373,0.0398857346,0.0342812278815019
78,0.07137,0.04011,"78 years",0.047307,0.03137,0.039625366,0.05617764,0.0454186619,0.040431826895543
79,0.07772,0.04461,"79 years",0.054768,0.03305,0.044299924,0.06162854,0.0503649396,0.0453111431871435
80,0.0848,0.04987,"80 years",0.058195,0.037045,0.0480007,0.06782402,0.054938862,0.0491909794851597
81,0.09269,0.056,"81 years",0.068343,0.044952,0.057068538,0.07485866,0.0632950807,0.0587616797959958
82,0.10144,0.06316,"82 years",0.079529,0.050365,0.065471952,0.08283592,0.0715493408,0.0677136386257455
83,0.11107,0.07148,"83 years",0.088712,0.062505,0.076080226,0.09182926,0.0815923879,0.0791300357852578
84,0.12154,0.08092,"84 years",0.096434,0.062888,0.080264828,0.10179868,0.0878016762,0.0836695068994312
85,0.1328,0.09144,"85 years",0.105321,0.07257,0.089535018,0.11269904,0.0976424257,0.0937998407407969
86,0.14477,0.10299,"86 years",0.116649,0.087642,0.102667626,0.12446492,0.1102966789,0.108328945979811
87,0.1573,0.11544,"87 years",0.132591,0.095146,0.11454251,0.13695604,0.1223872455,0.121650829687444
88,0.17024,0.12863,"88 years",0.145341,0.113199,0.129848556,0.15001754,0.1369077004,0.139088008919334
89,0.18356,0.14258,"89 years",0.169266,0.119733,0.145391094,0.16364372,0.1517795131,0.157111334576806
90,0.19722,0.15728,"90 years",0.19462,0.154562,0.175312044,0.17780916,0.1761860346,0.192750199347928
91,0.21122,0.17271,"91 years",0.200273,0.153723,0.1778359,0.19250414,0.182969784,0.195815268813883
92,0.22555,0.18888,"92 years",0.239318,0.191977,0.216499638,0.20772838,0.2134296977,0.243983755156813
